TGL,BARANG, QTY , HARGA (RP) , VAT (11%) ,DEBIT
11/7/2022,Strapping band 15/7 kuning, 200 ," 71,750.00 ",," 14,350,000.00 "
,Strapping band 15/7 kuning, 1 ," 95,000.00 ",," 95,000.00 "
,Strapping band 12/8 kuning, 30 ," 80,000.00 ",," 4,400,000.00 "
,Siku karet tebal, 25 ," 15,500.00 ",," 4,400,000.00 "
,Strapping band 15/7 kuning, 14 ," 71,750.00 ",," 1,076,250.00 "
,Strapping band 12/7 kuning, 1 ," 71,750.00 ",," 1,076,250.00 "
,Strapping band 15/8 hijau, 10 ," 82,000.00 ",," 820,000.00 "
,Strapping band 12/8 biru, 10 ," 84,600.00 ",," 846,000.00 "
,Strapping band 15/8 merah, 2 ," 88,000.00 ",," 176,000.00 "
,Strapping band 12/8 kuning, 5 ," 88,000.00 ",," 440,000.00 "
,Pe foam 2mm x 300m, 20 ," 700,540.54 "," 1,541,189.189 "," 15,552,000.00 "
,Pe tube dl 9cm x 2m, 425 ," 14,090.91 "," 658,750.043 "," 6,647,386.79 "
11/15/2022,Strapping band 12/8 kuning, 25 ," 84,000.00 ",," 10,500,000.00 "
,PET 20 kg hijau import, 100 ," 355,000.00 ",," 10,500,000.00 "
,Strapping band 12/7 merah, 25 ," 81,800.00 ",," 2,045,000.00 "
,Pe foam 1mm x 500m, 1 ," 643,800.00 ",," 643,800.00 "
,Single face 150cm, 51 ," 11,500.00 ",," 586,500.00 "
,Strapping band 15/7 kuning, 5 ," 82,000.00 ",," 410,000.00 "
,Strapping band 12/8 biru, 5 ," 85,000.00 ",," 850,000.00 "
,Strapping band 12/8 putih, 5 ," 85,000.00 ",," 850,000.00 "
,Lakban tan 48mm x 80y, 216 ," 8,378.38 "," 199,070.270 "," 2,008,800.00 "
,Strapping band 12/8 kuning, 12 ," 85,000.00 "," 112,200.000 "," 1,132,200.00 "
,Lakban clear 48mm x 80y, 68 ," 8,000.00 ", - ," 544,000.00 "
11/16/2022,Edge P, 70 ," 15,268.00 ",," 1,068,760.00 "
,"SB 15/8 merah, hijau, putih @1", 3 ," 86,600.00 ",," 346,400.00 "
,Strapping band 15/7 hitam, 1 ," 75,800.00 ",," 346,400.00 "
,Servis mesin, 1 ," 250,000.00 ",," 975,000.00 "
,Slade lidah, 1 ," 385,000.00 ",," 975,000.00 "
,Gear kecil, 1 ," 275,000.00 ",," 975,000.00 "
,Potenssio, 1 ," 65,000.00 ",," 975,000.00 "
,Strapping band 12/7 kuning, 10 ," 73,500.00 ",," 735,000.00 "
,Strapping band 12/7 kuning, 20 ," 75,800.00 ",," 1,516,000.00 "
,Strapping band 12/8 kuning, 10 ," 78,000.00 ",," 780,000.00 "
,Single face 150cm, 49 ," 11,500.00 ",," 563,500.00 "
,Strapping band 12/7 kuning, 2 ," 73,500.00 ",," 147,000.00 "
,Strapping band 12/8 biru, 8 ," 73,500.00 ",," 588,000.00 "
,Pe sheet 2cm x 1m x 1m, 15 ," 40,000.00 "," 66,000.000 "," 803,995.20 "
,Pe sheet 1cm x 1m x 1m, 5 ," 24,864.00 "," 13,675.200 "," 803,995.20 "
,Pe sheet 4cm x 1m x 1m, 60 ," 77,837.00 "," 513,724.200 "," 5,627,944.20 "
,Pe sheet 2cm x 1m x 1m, 10 ," 40,000.00 "," 44,000.000 "," 5,627,944.20 "
,Pe sheet 4cm x 1m x 1m, 40 ," 77,837.00 "," 342,482.800 "," 3,455,962.80 "
,Strapping band 12/7 kuning, 12 ," 79,450.00 "," 104,874.000 "," 1,864,578.00 "
,Strapping band 12/8 kuning, 8 ," 90,800.00 "," 79,904.000 "," 1,864,578.00 "
11/17/2022,Pe corner 10cm," 2,000 "," 2,750.00 ",," 5,500,000.00 "
,Pe tube dl 9cm x 2m," 3,793 "," 13,963.96 "," 5,826,184.685 "," 58,791,500.00 "
11/18/2022,PET 20kg hijau import, 25 ," 380,000.00 ",," 9,500,000.00 "
,Strapping band 12/8 biru, 50 ," 84,600.00 ",," 4,230,000.00 "
,"SB 15/8 biru (6), kuning (8)", 14 ," 82,000.00 ",," 3,362,000.00 "
,"SB 15/7 hj (11), pth (4), kng (12)", 27 ," 71,750.00 ",," 3,362,000.00 "
,Strapping band 9/8 kuning, 10 ," 96,800.00 ",," 968,000.00 "
,Strapping band 15/8 kuning, 10 ," 88,000.00 ",," 880,000.00 "
,Strapping band 15/7 kuning, 1 ," 95,000.00 ",," 95,000.00 "
,Pe foam 2mm x 200m pot, 1 ," 550,000.00 ",," 550,000.00 "
,SB 9/8 kuning FA, 25 ," 220,000.00 "," 605,000.000 "," 6,105,000.00 "
,Strapping band 12/8 kuning, 50 ," 84,000.00 "," 462,000.000 "," 4,662,000.00 "
,Strapping band 12/8 kuning, 60 ," 90,800.00 "," 599,280.000 "," 6,047,280.00 "
,Pe sheet 4cm x 1m x 1m, 50 ," 77,837.00 "," 428,103.500 "," 4,319,953.50 "
,Single face 150cm," 1,294 "," 10,681.82 "," 1,520,450.259 "," 15,342,725.34 "
,SF 17mic x 50cm x 250m, 60 ," 75,000.00 "," 495,000.000 "," 4,995,000.00 "
,Strapping band 15/7 kuning, 15 ," 86,363.64 "," 142,500.006 "," 1,437,954.61 "
11/19/2022,Strapping band 15/8 kuning, 2 ," 82,000.00 ",," 164,000.00 "
,Strapping band 15/7 kuning, 30 ," 85,000.00 "," 280,500.000 "," 2,830,500.00 "
,Lakban clear 48mm x 80y, 576 ," 8,182.00 "," 518,411.520 "," 5,231,243.52 "
11/21/2022,Strapping band 12/8 kuning, 5 ," 84,000.00 ",," 420,000.00 "
,Strapping band 15/8 kuning, 50 ," 83,500.00 ",," 4,175,000.00 "
,Strapping band 12/8 kuning, 100 ," 84,000.00 ",," 8,400,000.00 "
,Strapping band 9/8 kuning, 13 ," 96,800.00 ",," 1,258,400.00 "
,Lakban clear 48mm x 90y," 1,080 "," 9,500.00 ",," 10,307,500.00 "
11/19/2022,Strapping band 15/8 kuning, 5 ," 86,000.00 ",," 430,000.00 "
11/22/2022,Strapping band 15/7 kuning, 1 ," 95,000.00 ",," 95,000.00 "
11/23/2022,Strapping band 15/8 kuning, 5 ," 85,000.00 ",," 425,000.00 "
,Strapping band 15/8 kuning, 1 ," 169,780.00 ",," 169,780.00 "
,Bubble clear 50m, 15 ," 110,000.00 ",," 2,200,000.00 "
,Bubble black 50m, 5 ," 110,000.00 ",," 2,200,000.00 "
,Edge foam 30mm x 2000mm," 2,400 "," 16,100.00 "," 4,250,400.000 "," 42,890,400.00 "
,Lakban clear 48mm x 80y, 144 ," 8,000.00 ", - ," 1,152,000.00 "
11/24/2022,Bubble clear 50m, 2 ," 130,000.00 ",," 260,000.00 "
,Single face 150cm," 1,241 "," 10,681.82 "," 1,458,175.248 "," 14,714,313.87 "
11/25/2022,Pe foam 3mm x 150m, 10 ," 600,000.00 ",," 6,000,000.00 "
,Strapping band 15/8 kuning, 40 ," 85,000.00 ",," 4,250,000.00 "
,Strapping band 12/8 kuning, 10 ," 85,000.00 ",," 4,250,000.00 "
11/18/2022,Strapping band 12/7 merah, 50 ," 71,750.00 ",," 3,587,500.00 "
,Pe foam 0.5mm x 800m, 5 ," 550,000.00 "," 302,500.000 "," 7,993,007.55 "
,Pe tube dl 9cm x 2m, 306 ," 14,545.45 "," 489,599.847 "," 7,993,007.55 "
,Pe foam 2mm x 200m, 41 ," 461,000.00 "," 2,079,110.000 "," 20,980,110.00 "
,Pe tube dl 9cm x 2m," 1,020 "," 15,454.95 "," 1,734,045.946 "," 17,498,100.00 "
11/26/2022,Strapping band 9/8 kuning, 10 ," 85,000.00 ",," 850,000.00 "
,Strapping band 15/7 kuning, 5 ," 82,000.00 ",," 410,000.00 "
,Gripper CH-06," 25,000 ", 216.00 ,," 5,400,000.00 "
11/22/2022,Strapping band 12/7 kuning, 3 ," 73,200.00 "," 24,156.000 "," 243,756.00 "
,Pe foam 2mm x 300m, 10 ," 700,540.54 "," 770,594.595 "," 7,776,000.00 "
11/28/2022,Lakban clear 45mm x 80y, 216 ," 8,500.00 ",," 4,060,800.00 "
,Lakban clear 24mm x 72y, 432 ," 5,150.00 ",," 4,060,800.00 "
,Pe foam 1mm x 500m, 1 ," 643,800.00 ",," 643,800.00 "
,Strapping band 15/7 kuning, 1 ," 95,000.00 ",," 95,000.00 "
,Pe sheet 4cm x 1m x 1m, 50 ," 77,837.00 ", - ," 3,891,850.00 "
,Styrofoam 2cm, 25 ," 22,000.00 ", - ," 550,000.00 "
,Styrofoam 3cm, 16 ," 34,090.91 ", - ," 545,454.56 "
,Pe sheet 1cm x 1m x 1m, 5 ," 24,864.00 ", - ," 124,320.00 "
,Pe tube dl 9cm x 2m, 22 ," 14,090.91 "," 34,100.002 "," 344,100.02 "
,Strapping band 12/7 kuning, 10 ," 85,000.00 "," 93,500.000 "," 943,500.00 "
11/29/2022,Strapping band 15/8 merah, 40 ," 84,000.00 ",," 5,880,000.00 "
,Strapping band 12/8 kuning, 30 ," 84,000.00 ",," 5,880,000.00 "
,Strapping band 12/7 kuning, 50 ," 73,000.00 ",," 3,650,000.00 "
,Strapping band 12/7 kuning, 60 ," 73,000.00 ",," 4,380,000.00 "
,Strapping band 9/8 kuning, 30 ," 85,000.00 ",," 2,550,000.00 "
,Bubble clear 50m, 22 ," 110,000.00 ",," 2,550,000.00 "
,Bubble black 50m, 15 ," 110,000.00 ",," 2,550,000.00 "
,Lakban clear 48mm x 80y," 3,600 "," 6,486.49 "," 2,568,648.649 "," 25,920,000.00 "
,Strapping band 15/8 kuning, 20 ," 95,000.00 ", - ," 1,900,000.00 "
,Strapping band 12/8 kuning, 80 ," 90,800.00 "," 799,040.000 "," 8,063,040.00 "
,,,,," 8,063,040.00 "
11/30/2022,Lakban clear 24mm x 72y, 144 ," 5,150.00 ",," 3,798,000.00 "
,Strapping band 15/7 kuning, 300 ," 73,500.00 ",," 24,690,000.00 "
,Strapping band 9/8 kuning, 30 ," 88,000.00 ",," 24,690,000.00 "
,Strapping band 15/7 kuning, 50 ," 79,000.00 ",," 6,320,000.00 "
,Strapping band 15/7 biru, 30 ," 79,000.00 ",," 6,320,000.00 "
,Strapping band 15/8 merah, 25 ," 84,000.00 ",," 8,064,000.00 "
,Strapping band 15/8 kuning, 71 ," 84,000.00 ",," 8,064,000.00 "
11/29/2022,Strapping band 12/8 putih, 3 ," 84,000.00 ",," 672,000.00 "
,Strapping band 12/8 kuning, 5 ," 84,000.00 ",," 672,000.00 "
,Pe sheet 4cm x 1m x 1m, 40 ," 77,837.00 "," 342,482.800 "," 3,899,962.80 "
,Pe sheet 2cm x 1m x 1m, 10 ," 40,000.00 "," 44,000.000 "," 3,899,962.80 "
,Pe sheet 4cm x 1m x 1m, 40 ," 77,837.00 "," 342,482.800 "," 3,455,962.80 "
,Lakban clear 48mm x 80y, 656 ," 8,000.00 ", - ," 5,248,000.00 "
,Styrofoam 1cm x 1m x 2m, 10 ," 563,063.06 "," 619,369.369 "," 6,250,000.00 "
,Strapping band 15/8 kuning, 18 ," 169,800.00 "," 336,204.000 "," 3,392,604.00 "
1/2/2023,Strapping band 15/8 kuning, 21 ," 85,000.00 ",," 1,785,000.00 "
,Strapping band 12/7 kuning, 18 ," 73,500.00 ",," 1,323,000.00 "
,Strapping band 15/7 kuning, 5 ," 82,000.00 ",," 410,000.00 "
,Strapping band 15/7 kuning, 6 ," 71,750.00 ",," 430,500.00 "
,Pe tube dl 9cm x 2m, 17 ," 14,090.91 "," 26,350.002 "," 265,895.47 "
1/3/2023,Strapping band 12/7 merah, 4 ," 75,800.00 ",," 2,761,000.00 "
,Strapping band 12/7 biru, 21 ," 75,800.00 ",," 2,761,000.00 "
,Strapping band 12/8 kuning, 10 ," 86,600.00 ",," 2,761,000.00 "
,Bubble clear 100m, 1 ," 260,909.09 "," 28,700.000 "," 289,609.09 "
1/4/2023,Strapping band 15/8 kuning, 5 ," 80,000.00 ",," 400,000.00 "
,Strapping band 9/8 kuning, 5 ," 94,000.00 ",," 470,000.00 "
,Strapping band 12/8 kuning, 120 ," 85,000.00 "," 1,122,000.000 "," 11,322,000.00 "
,SF 12mic x 300m, 6 ," 80,000.00 "," 52,800.000 "," 532,800.00 "
,Pe tube dl 9cm x 2m, 272 ," 14,090.91 "," 421,600.027 "," 4,254,327.55 "
1/5/2023,Strapping band 15/8 kuning, 11 ," 88,000.00 ",," 6,059,200.00 "
,Strapping band 15/7 hitam, 5 ," 88,000.00 ",," 6,059,200.00 "
,Lakban clear 48mm x 80y, 288 ," 8,500.00 ",," 6,059,200.00 "
,Lakban clear 24mm x 72y, 432 ," 5,100.00 ",," 6,059,200.00 "
,Strapping band 12/7 biru, 10 ," 87,000.00 ",," 870,000.00 "
,Strapping band 15/7 kuning, 1 ," 95,000.00 ",," 95,000.00 "
,Pe foam 2mm x 300m, 20 ," 700,540.54 "," 1,541,189.189 "," 15,552,000.00 "
,Pe tube dl 9cm x 2m, 100 ," 20,000.00 "," 220,000.000 "," 3,128,181.84 "
,SF 17mic x 50cm, 12 ," 68,181.82 "," 90,000.002 "," 3,128,181.84 "
,Strapping band 12/8 kuning, 8 ," 85,000.00 "," 74,800.000 "," 754,800.00 "
1/6/2023,Strapping band 15/8 merah, 5 ," 85,000.00 ",," 1,700,000.00 "
,Strapping band 15/8 kuning, 5 ," 85,000.00 ",," 1,700,000.00 "
,Strapping band 15/8 hijau, 5 ," 85,000.00 ",," 1,700,000.00 "
,Strapping band 15/8 biru, 5 ," 85,000.00 ",," 1,700,000.00 "
,Bubble clear 100m, 1 ," 300,000.00 ",," 1,500,000.00 "
,Bubble black 50m, 6 ," 150,000.00 ",," 1,500,000.00 "
,Bubble clear 50m, 2 ," 150,000.00 ",," 1,500,000.00 "
,Single face 150cm, 47 ," 11,500.00 ",," 540,500.00 "
,Strapping band 12/8 putih, 30 ," 84,200.00 ",," 2,526,000.00 "
,Strapping band 12/7 kuning, 100 ," 73,000.00 ",," 10,950,000.00 "
,Strapping band 12/7 merah, 50 ," 73,000.00 ",," 10,950,000.00 "
,Gripper Ch-06," 5,000 ", 350.00 ,," 1,750,000.00 "
,Strapping band 12/7 kuning, 50 ," 84,000.00 "," 462,000.000 "," 4,662,000.00 "
,Pe sheet 4cm x 1m x 1m, 30 ," 77,837.00 "," 256,862.100 "," 2,591,972.10 "
,Pe sheet 4cm x 1m x 1m, 30 ," 77,837.00 "," 256,862.100 "," 2,591,972.10 "
,Pe sheet 2cm x 1m x 1m, 5 ," 40,000.00 ", - ," 200,000.00 "
1/7/2023,Strapping band 12/7 kuning, 40 ," 84,000.00 ",," 5,880,000.00 "
,Strapping band 15/7 merah, 30 ," 84,000.00 ",," 5,880,000.00 "
,Alat packing manual, 1 ," 600,000.00 ",," 600,000.00 "
,Strapping band 12/8 kuning, 50 ," 84,000.00 ",," 16,800,000.00 "
,Strapping band 12/7 kuning, 111 ," 84,000.00 ",," 16,800,000.00 "
,Strapping band 15/7 kuning, 39 ," 84,000.00 ",," 16,800,000.00 "
,Strapping band 15/8 kuning, 10 ," 82,000.00 ",," 820,000.00 "
,Strapping band 15/7 kuning, 10 ," 78,000.00 ",," 780,000.00 "
,Strapping band 15/7 hitam, 5 ," 71,750.00 ",," 2,306,250.00 "
,Strapping band 12/8 putih, 15 ," 82,000.00 ",," 2,306,250.00 "
,Strapping band 12/7 biru, 1 ," 71,750.00 ",," 2,306,250.00 "
,Strapping band 15/7 kuning, 9 ," 71,750.00 ",," 2,306,250.00 "
,Strapping band 12/8 kuning, 80 ," 90,800.00 "," 799,040.000 "," 8,063,040.00 "
1/9/2023,Strapping band 15/7 kuning, 2 ," 80,000.00 ",," 160,000.00 "
,Strapping band 15/7 kuning, 10 ," 74,000.00 ",," 740,000.00 "
,Strapping band 15/8 kuning, 20 ," 82,000.00 ",," 1,640,000.00 "
,Strapping band 15/7 kuning, 5 ," 82,000.00 ",," 410,000.00 "
1/10/2023,Pe foam 1mm x 500m, 3 ," 650,000.00 ",," 3,450,000.00 "
,Bubble clear 100m, 5 ," 300,000.00 ",," 3,450,000.00 "
,Strapping band 12/8 biru, 10 ," 87,000.00 ",," 2,436,000.00 "
,Strapping band 12/8 kuning, 10 ," 87,000.00 ",," 2,436,000.00 "
,Strapping band 12/8 hijau, 5 ," 87,000.00 ",," 2,436,000.00 "
,Strapping band 12/8 hitam, 3 ," 87,000.00 ",," 2,436,000.00 "
,Strapping band 9/8 kuning, 15 ," 96,800.00 ",," 1,452,000.00 "
,Single face 150cm, 44 ," 11,000.00 ",," 484,000.00 "
,Strapping band 12/8 kuning, 21 ," 85,000.00 "," 196,350.000 "," 1,981,350.00 "
,Strapping band 15/8 kuning, 10 ," 86,363.64 "," 95,000.004 "," 958,636.40 "
1/11/2023,Strapping band 12/8 biru, 15 ," 84,600.00 ",," 1,269,000.00 "
,Strapping band 12/8 kuning, 10 ," 84,800.00 ",," 848,000.00 "
,Strapping band 15/7 kuning, 5 ," 85,000.00 ",," 425,000.00 "
,Strapping band 15/8 kuning, 50 ," 85,000.00 ",," 4,250,000.00 "
,Strapping band 15/8 kuning, 50 ," 85,000.00 ",," 4,250,000.00 "
,Single face 150cm," 1,141 "," 10,681.82 "," 1,340,675.228 "," 13,528,631.85 "
1/12/2023,Pe foam 0.5mm x 800m, 8 ," 635,000.00 ",," 16,285,000.00 "
,Pe foam 1mm x 500m, 15 ," 635,000.00 ",," 16,285,000.00 "
,Bubble clear 100m, 7 ," 240,000.00 ",," 16,285,000.00 "
,Pe foam 0.5mm x 800m, 5 ," 550,000.00 ",," 6,800,000.00 "
,Pe foam 1mm x 500m, 3 ," 550,000.00 ",," 6,800,000.00 "
,Bubble clear 50m, 15 ," 120,000.00 ",   ," 6,800,000.00 "
,Bubble black 50m, 5 ," 120,000.00 ",," 6,800,000.00 "
,Pe foam 2mm x 200m, 1 ," 550,000.00 ",," 840,000.00 "
,Bubble clear 100m, 1 ," 290,000.00 ",," 840,000.00 "
,Strapping band 12/8 kuning, 25 ," 86,600.00 ",," 2,165,000.00 "
1/13/2023,Strapping band 12/8 kuning, 1 ," 90,000.00 ",," 265,000.00 "
,Strapping band 12/7 biru, 1 ," 80,000.00 ",," 265,000.00 "
,Strapping band 9/8 biru, 1 ," 95,000.00 ",," 265,000.00 "
,Strapping band 12/7 biru, 2 ," 88,000.00 ",," 176,000.00 "
,Strapping band 15/7 hitam, 10 ," 71,750.00 ",," 717,500.00 "
,Strapping band 15/7 kuning, 1 ," 95,000.00 ",," 95,000.00 "
,Strapping band 15/8 kuning, 1 ," 90,000.00 ",," 90,000.00 "
,Pe tube dl 9cm x 2m, 85 ," 15,454.95 "," 144,503.783 "," 2,468,174.52 "
,Pe foam 2mm x 200m, 2 ," 454,954.95 "," 100,090.089 "," 2,468,174.52 "
1/14/2023,Strapping band 12/8 kuning, 10 ," 84,400.00 ",," 844,000.00 "
,Strapping band 12/7 kuning, 25 ," 81,800.00 ",," 8,180,000.00 "
,Strapping band 12/7 hijau, 25 ," 81,800.00 ",," 8,180,000.00 "
,Strapping band 12/7 putih, 25 ," 81,800.00 ",," 8,180,000.00 "
,Strapping band 12/7 biru, 25 ," 81,800.00 ",," 8,180,000.00 "
,Strapping band 12/8 kuning, 10 ," 88,000.00 ",," 880,000.00 "
,Strapping band 9/8 merah, 2 ," 98,000.00 ",," 980,000.00 "
,Strapping band 9/8 hitam, 4 ," 98,000.00 ",," 980,000.00 "
,Strapping band 9/8 biru, 4 ," 98,000.00 ",," 980,000.00 "
,Strapping band 15/7 kuning, 100 ," 72,500.00 ",," 7,250,000.00 "
,Strapping band 12/8 hitam, 25 ," 84,000.00 ",," 2,100,000.00 "
,Strapping band 12/8 biru, 50 ," 84,600.00 ",," 4,230,000.00 "
,Strapping band 12/8 kuning, 30 ," 82,000.00 "," 270,600.000 "," 2,730,600.00 "
1/16/2023,Strapping band 15/7 kuning, 50 ," 73,700.00 ",," 3,685,000.00 "
,Strapping band 15/7 hitam, 30 ," 71,750.00 ",," 3,054,500.00 "
,Strapping band 15/8 kuning, 11 ," 82,000.00 ",," 3,054,500.00 "
,Lakban tan 48mm x 80y, 144 ," 9,000.00 ",," 1,296,000.00 "
,Strapping band 15/7 kuning, 5 ," 82,000.00 ",," 410,000.00 "
,Pe foam 2mm x 300m, 20 ," 700,540.54 "," 1,541,189.189 "," 15,552,000.00 "
,Pe tube dl 9cm x 2m, 442 ," 14,090.91 "," 685,100.044 "," 6,913,282.26 "
,Pe sheet 4cm x 1m x 1m, 25 ," 77,837.00 ", - ," 1,945,925.00 "
,Lakban clear 48mm x 80y, 288 ," 6,500.00 "," 205,920.000 "," 2,077,920.00 "
1/17/2023,Strapping band 15/7 merah, 10 ," 73,500.00 ",," 735,000.00 "
,Strapping band 15/7 kuning, 5 ," 71,750.00 ",," 358,750.00 "
,Strapping band 15/8 kuning, 2 ," 82,000.00 ",," 164,000.00 "
,Strapping band 15/7 kuning, 15 ," 71,750.00 ",," 1,814,250.00 "
,Strapping band 15/8 hijau, 9 ," 82,000.00 ",," 1,814,250.00 "
,Strapping band 15/8 putih, 10 ," 88,000.00 ",," 880,000.00 "
,Strapping band 15/8 kuning, 19 ," 169,800.00 "," 354,882.000 "," 3,581,082.00 "
,Pe foam 1mm x 500m, 1 ," 563,063.06 "," 61,936.937 "," 625,000.00 "
1/18/2023,SF 17mic x 10cm, 250 ," 20,975.00 ",," 5,243,750.00 "
,PET hijau lokal 18kg, 59 ," 338,400.00 ",," 19,965,600.00 "
,Strapping band 15/8 kuning, 50 ," 85,000.00 ",," 4,250,000.00 "
,Strapping band 15/8 kuning, 18 ," 96,800.00 ",," 1,742,400.00 "
,Strapping band 15/8 kuning, 50 ," 85,000.00 ",," 4,250,000.00 "
,Strapping band 15/8 merah, 10 ," 88,000.00 ",," 880,000.00 "
,Strapping band 15/8 kuning, 10 ," 82,000.00 ",," 820,000.00 "
,Strapping band 15/8 kuning print, 100 ," 129,090.91 "," 1,420,000.010 "," 14,329,091.01 "
,Lakban clear 48mm x 80y," 1,800 "," 6,500.00 "," 1,287,000.000 "," 12,987,000.00 "
1/19/2023,Strapping band 12/7 kuning, 125 ," 73,000.00 ",," 9,125,000.00 "
,Strapping band 15/7 kuning, 50 ," 81,300.00 ",," 6,097,500.00 "
,Strapping band 15/7 merah, 25 ," 81,300.00 ",," 6,097,500.00 "
,Strapping band 15/7 kuning, 100 ," 72,500.00 ",," 7,250,000.00 "
1/18/2023,Strapping band 12/7 biru, 3 ," 80,000.00 ",," 400,000.00 "
,Strapping band 12/7 kuning, 2 ," 80,000.00 ",," 400,000.00 "
,Strapping band 12/7 biru, 10 ," 91,500.00 ",," 915,000.00 "
,Strapping band 15/8 merah, 34 ," 86,600.00 ",," 4,157,200.00 "
,Strapping band 15/7 merah, 16 ," 75,800.00 ",," 4,157,200.00 "
,Strapping band 12/8 kuning, 400 ," 84,000.00 "," 3,696,000.000 "," 37,296,000.00 "
,Gummed tape, 60 ," 46,000.00 "," 303,600.000 "," 3,063,600.00 "
,Pe sheet 4cm x 1m x 1m, 40 ," 77,837.00 "," 342,482.800 "," 3,455,962.80 "
,Pe sheet 2cm x 1m x 1m, 15 ," 40,000.00 ", - ," 724,320.00 "
,Pe sheet 1cm x 1m x 1m, 5 ," 24,864.00 ", - ," 724,320.00 "
,Strapping band 15/8 kuning, 20 ," 95,000.00 ", - ," 1,900,000.00 "
1/20/2023,Strapping band 15/7 kuning, 20 ," 79,000.00 ",," 3,895,600.00 "
,Bubble clear 50m, 10 ," 125,000.00 ",," 3,895,600.00 "
,SF 17mic, 12 ," 88,800.00 ",," 3,895,600.00 "
,Styrofoam 2cm, 5 ," 550,000.00 ",," 2,750,000.00 "
,Pe foam 1mm x 500m, 1 ," 650,000.00 ",," 1,850,000.00 "
,Bubble clear 100m, 4 ," 300,000.00 ",," 1,850,000.00 "
,Isolasi cermin, 5 ," 620,000.00 ",," 3,100,000.00 "
,Single face 150cm, 48 ," 11,000.00 ",," 1,178,000.00 "
,Pe foam 1mm x 500m, 1 ," 650,000.00 ",," 1,178,000.00 "
,Strapping band 15/7 kuning, 1 ," 95,000.00 ",," 95,000.00 "
,Strapping band 15/8 merah, 5 ," 85,000.00 ",," 425,000.00 "
,Strapping band 15/8 kuning, 5 ," 86,000.00 ",," 430,000.00 "
,Plastik mulsa hitam perak, 1 ," 750,000.00 ",," 750,000.00 "
,Pe foam 2mm x 200m, 100 ," 461,000.00 "," 5,071,000.000 "," 51,171,000.00 "
,Single face 150cm, 636 ," 10,681.82 "," 747,300.127 "," 7,540,937.65 "
,Lakban clear 48mm x 100y, 72 ," 7,117.12 "," 56,367.568 "," 568,800.00 "
,Lakban tan 48mm x 80y, 288 ," 8,378.38 "," 265,427.027 "," 3,348,000.00 "
,Lakban clear 48mm x 80y, 72 ," 8,378.38 "," 66,356.757 "," 3,348,000.00 "
,SF 12mic x 300m, 12 ," 80,000.00 "," 105,600.000 "," 1,065,600.00 "
1/21/2023,Strapping band 9/8 kuning, 30 ," 85,000.00 ",," 2,550,000.00 "
,Strapping band 15/7 kuning, 5 ," 82,000.00 ",," 410,000.00 "
1/23/2023,SB 12/8 kuning KW ori, 250 ," 105,000.00 ",," 26,250,000.00 "
,Strapping band 12/7 kuning, 75 ," 73,000.00 ",," 5,475,000.00 "
,Strapping band 12/8 kuning, 25 ," 86,600.00 ",," 2,165,000.00 "
1/24/2023,Strapping band 15/8 kuning, 50 ," 82,800.00 ",," 4,140,000.00 "
,Strapping band 12/8 biru, 10 ," 87,000.00 ",," 1,305,000.00 "
,Strapping band 12/8 kuning, 5 ," 87,000.00 ",," 1,305,000.00 "
,Strapping band 12/7 kuning, 3 ," 73,200.00 ",," 219,600.00 "
,Pe tube dl 9cm x 2m, 85 ," 15,500.00 ",," 1,317,500.00 "
1/25/2023,Strapping band 9/8 kuning, 5 ," 96,800.00 ",," 484,000.00 "
,Strapping band 15/8 kuning, 11 ," 84,000.00 ",," 924,000.00 "
,Bubble clear 50m, 2 ," 130,000.00 ",," 260,000.00 "
,Strapping band 12/8 kuning, 4 ," 88,000.00 ",," 352,000.00 "
,Strapping band 12/7 kuning, 10 ," 84,000.00 ",," 840,000.00 "
,Pe foam 2mm x 300m, 10 ," 700,540.54 "," 770,594.595 "," 7,776,000.00 "
,Single face 150cm, 563 ," 10,681.82 "," 661,525.113 "," 6,675,389.77 "
1/26/2023,Strapping band 15/7 biru, 2 ," 80,000.00 ",," 160,000.00 "
,Strapping band 12/7 kuning, 5 ," 73,200.00 ",," 366,000.00 "
,Strapping band 9/8 kuning, 10 ," 89,000.00 ",," 890,000.00 "
1/27/2023,PET hijau lokal 18kg, 60 ," 338,400.00 ",," 20,304,000.00 "
,Strapping band 12/7 merah, 13 ," 71,750.00 ",," 1,178,750.00 "
,Strapping band 15/8 putih, 3 ," 82,000.00 ",," 1,178,750.00 "
,Pe tube dl 9cm x 2m, 425 ," 14,090.91 "," 658,750.043 "," 6,647,386.79 "
AB,Strapping band 12/7 kuning, 10 ," 79,450.00 "," 87,395.000 "," 7,937,055.00 "
,Strapping band 12/8 kuning, 70 ," 90,800.00 "," 699,160.000 "," 7,937,055.00 "
1/28/2023,Servis mesin + pen, 1 ," 325,000.00 ",," 325,000.00 "
,Strapping band 12/7 kuning, 37 ," 75,800.00 ",," 3,714,200.00 "
,Strapping band 12/7 biru, 9 ," 75,800.00 ",," 3,714,200.00 "
,Strapping band 12/7 merah, 3 ," 75,800.00 ",," 3,714,200.00 "
1/30/2023,Strapping band 15/7 kuning, 100 ," 82,000.00 ",," 16,400,000.00 "
,Strapping band 15/7 merah, 100 ," 82,000.00 ",," 16,400,000.00 "
,Strapping band 15/8 kuning, 30 ," 83,600.00 ",," 4,180,000.00 "
